Precio,Titulo,Ubicacion,Enlace,Titulo_Limpio,Precio_Num,Categoria,Marca,Producto,Modelo,Estado,Segmento,Distrito_Limpio
S/100,baterías marca dewalt made in usa y marca bosch made in germany 24v. nuevo,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1840594697331467/,baterías marca dewalt made in usa y marca bosch made in germany 24v. nuevo,100,Energía y Adaptadores,Otro/Genérico,Bateria,Otro,Nuevo/Sellado,Económico,San Martín De Porres
S/200,reproductor mp3 sony modelo nw-705f color violeta oscuro.,"san miguel, lm",https://www.facebook.com/marketplace/item/1865670954042342/,reproductor mp3 sony modelo nw-705f color violeta oscuro.,200,Equipos de sonido,Sony,Sistema de sonido,Sony ULT Tower,Usado (No especificado),Económico,San Miguel
S/580,cámara canon rebel t3,"santiago de surco, lm",https://www.facebook.com/marketplace/item/25818749547754689/,cámara canon rebel t3,580,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,Santiago De Surco
S/1.250,iphone 13 de 128gb 10/10,callao,https://www.facebook.com/marketplace/item/886795164139415/,iphone 13 de 128gb 10/10,1250,Dispositivos móviles,Apple,Smartphone,iPhone 13,Usado/Como Nuevo,Estándar,Callao
S/700,equipo de sonido aiwa z-d8100m – sistema completo,"comas, lm",https://www.facebook.com/marketplace/item/1614982832861053/,equipo de sonido aiwa z-d8100m – sistema completo,700,Equipos de sonido,Otro/Genérico,Equipo de sonido,Otro,Usado (No especificado),Económico,Comas
S/480,parlante jbl bluetooth charge 6 negro original sellado,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1483898827069690/,parlante jbl bluetooth charge 6 negro original sellado,480,Equipos de sonido,Otro/Genérico,Parlante,Otro,Nuevo/Sellado,Económico,Villa María Del Triunfo
S/300,remato ! motorolla g54 5g,"jesús maría, lm",https://www.facebook.com/marketplace/item/2073603763461808/,remato ! motorolla g54 5g,300,Dispositivos móviles,Motorola,Smartphone,Motorola Moto G,Usado (No especificado),Económico,Jesús María
S/2.500,"laptop gamer lenovo loq de 15.6"", modelo 83gs000blm, intel core i5-12450hx (12va gen), 8 núcleos, nv","san miguel, lm",https://www.facebook.com/marketplace/item/945176631180384/,"laptop gamer lenovo loq de 15.6"", modelo 83gs000blm, intel core i5-12450hx (12va gen), 8 núcleos, nv",2500,Laptops/PC,Otro/Genérico,Laptop,Otro,Usado (No especificado),Estándar,San Miguel
S/450,laptop lenovo,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/891633037129661/,laptop lenovo,450,Laptops/PC,Lenovo,Laptop,Lenovo,Usado (No especificado),Económico,Ventanilla
S/1.400,iphone 14 plus 128gb,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1428487762272319/,iphone 14 plus 128gb,1400,Dispositivos móviles,Apple,Smartphone,iPhone 14 Plus,Usado (No especificado),Estándar,San Martín De Porres
S/120,redmi note 11 128gb con detalle,"independencia, lm",https://www.facebook.com/marketplace/item/1679534050156591/,redmi note 11 128gb con detalle,120,Dispositivos móviles,Xiaomi,Smartphone,redmi,Usado (No especificado),Económico,Independencia
S/135,audífonos bluetooth jbl- wave beam,"la victoria, lm",https://www.facebook.com/marketplace/item/1388734619389110/,audífonos bluetooth jbl- wave beam,135,Audífonos,Otro/Genérico,Audífonos,Otro,Usado (No especificado),Económico,La Victoria
S/650,galaxy a26 5g (2026),"barranco, lm",https://www.facebook.com/marketplace/item/1855380495340145/,galaxy a26 5g (2026),650,Dispositivos móviles,Samsung,Smartphone,Galaxy A,Usado (No especificado),Económico,Barranco
S/600,opo reno 14f 5g,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1241752794531159/,opo reno 14f 5g,600,Dispositivos móviles,Oppo,Smartphone,Oppo Reno,Usado (No especificado),Económico,San Juan De Lurigancho
S/1.000,"mac book pro 2015 !5 13” 16 ram 500 ssd , operativa y funcional . pregunté con confianza","lince, lm",https://www.facebook.com/marketplace/item/1195718856065334/,"mac book pro 2015 !5 13” 16 ram 500 ssd , operativa y funcional . pregunté con confianza",1000,Laptops/PC,Apple,Laptop,MacBook,Usado (No especificado),Estándar,Lince
